source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
CZBIL,NBL,0.6293170079852709,0.6293170079852709,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
NABIL,NBB,0.620239728239594,0.620239728239594,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
MBL,NBL,0.6178812190925072,0.6178812190925072,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
HBL,NBB,0.6150837332900282,0.6150837332900282,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
NBL,SANIMA,0.5980894536917176,0.5980894536917176,positive,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
GBIME,NBB,0.5714403762263713,0.5714403762263713,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664
NICA,PRVU,0.5520593257462271,0.5520593257462271,positive,-1.3235357766143108,600.8373368237347,60154.26422338569,38150138.67067016,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
NBL,SBI,0.5358171882540917,0.5358171882540917,positive,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
NABIL,NICA,0.5303711762922867,0.5303711762922867,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-1.3235357766143108,600.8373368237347,60154.26422338569,38150138.67067016
MBL,NICA,0.5053365980738297,0.5053365980738297,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-1.3235357766143108,600.8373368237347,60154.26422338569,38150138.67067016
EBL,NBL,0.4982641023499923,0.4982641023499923,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
NICA,PCBL,0.4981476959958312,0.4981476959958312,positive,-1.3235357766143108,600.8373368237347,60154.26422338569,38150138.67067016,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
